classe,numero_compte,libelle
1,10,"Capital, reserves et assimiles"
1,101,"Capital emis ou capital social ou fonds de dotation, ou fonds d'exploitation"
1,103,"Primes liees au capital social"
1,104,"Ecart d'evaluation"
1,105,"Ecart de reevaluation"
1,106,"Reserves (legale, statutaire, ordinaire, reglementee)"
1,107,"Ecart d'equivalence"
1,108,"Compte de l'exploitant"
1,109,"Capital souscrit non appele"
1,11,"Report a nouveau"
1,12,"Resultat de l'exercice"
1,13,"Produit et charges me-hors cycle d'exploitation"
1,131,"Subventions d'equipement"
1,132,"Autres subventions d'investissements"
1,133,"Impots me-actif"
1,134,"Impots me-passif"
1,138,"Autres produits et charges me-"
1,14,"(Disponible)"
1,15,"Provisions pour charges – passifs non courants"
1,153,"Provisions pour pensions et obligations similaires"
1,155,"Provisions pour impots"
1,156,"Provisions pour renouvellement des immobilisations (concession)"
1,158,"Autres provisions pour charges passifs non courants"
1,16,"Emprunts et dettes assimiles"
1,161,"Titres participatifs"
1,162,"Emprunts obligataires convertibles"
1,163,"Autres emprunts obligataires"
1,164,"Emprunts aupres des etablissements de credit"
1,165,"Depots et cautionnements recus"
1,167,"Dettes sur contrat de location-financement"
1,168,"Autres emprunts et dettes assimiles"
1,169,"Primes de remboursement des obligations"
1,17,"Dettes rattachees de participations"
1,171,"Dettes rattachees a des participations groupe"
1,172,"Dettes rattachees a des participations hors groupe"
1,173,"Dettes rattachees a des societes en participation"
1,178,"Autres dettes rattachees a des participations"
1,18,"Comptes de liaison des etablissements et societes en participation"
1,181,"Comptes de liaison entre etablissements"
1,188,"Comptes de liaison entre societes en participation"
1,19,"(Disponible)"
2,20,"Immobilisations incorporelles"
2,203,"Frais de developpement immobilisables"
2,204,"Logiciels informatiques et assimiles"
2,205,"Concessions et droits similaires, brevets,licences, marques,"
2,207,"Ecart d'acquisition"
2,208,"Autres immobilisations incorporelles"
2,21,"Immobilisations corporelles"
2,211,"Terrains"
2,212,"Agencements et amenagements de terrain"
2,213,"Constructions"
2,215,"Installations techniques materiel et outillage industriels"
2,218,"Autres immobilisations corporelles"
2,22,"Immobilisations en concession"
2,221,"Terrains en concession"
2,222,"Agencements et amenagements de terrain en concession"
2,223,"Constructions en concession"
2,225,"Installations techniques en concession"
2,228,"Autres immobilisations corporelles en concession"
2,229,"Droits du concedant"
2,23,"Immobilisations en cours"
2,232,"Immobilisations corporelles en cours"
2,237,"Immobilisations incorporelles en cours"
2,238,"Avances et acomptes verses sur commandes d'immobilisations"
2,24,"(Disponible)"
2,25,"(Disponible)"
2,26,"Participations et creances rattachees a des participations"
2,261,"Titres de filiales"
2,262,"Autres titres de participation"
2,265,"Titres de participation evalues par equivalence (entreprises associees)"
2,266,"Creances rattachees a des participations groupe"
2,267,"Creances rattachees a des participations hors groupe"
2,268,"Creances rattachees a des societes en participation"
2,269,"Versements restant a effectuer sur titres de participation non me-s"
2,27,"Autres immobilisations financieres"
2,271,"Titres immobilises autres que les titres immobilises de l'activite de portefeuille"
2,272,"Titres representatifs de droit de creance (obligations, bons)"
2,273,"Titres immobilises de l'activite de portefeuille"
2,274,"Prets et creances sur contrat de location-financement"
2,275,"Depots et cautionnements verses"
2,276,"Autres creances immobilisees"
2,279,"Versements restant a effectuer sur titres immobilises non me-s"
2,28,"Amortissement des immobilisations"
2,280,"Amortissement des immobilisations incorporelles"
2,2803,"Amortissement des frais de recherche et developpement immobilisables"
2,2804,"Amortissement des logiciels informatiques et assimiles"
2,2805,"Amortissement concessions et droits similaires, brevets, licences, marques"
2,2807,"Amortissement ecart d'acquisition (goodwill)"
2,2808,"Amortissement autres immobilisations incorporelles"
2,281,"Amortissement des immobilisations corporelles"
2,2812,"Amortissement agencements et amenagements de terrain"
2,2813,"Amortissement constructions"
2,2815,"Amortissement installations techniques"
2,2818,"Amortissement autres immobilisations corporelles"
2,282,"Amortissement des immobilisations mises en concession"
2,29,"Pertes de valeur sur immobilisations"
2,290,"Pertes de valeur sur immobilisations incorporelles"
2,2903,"Pertes de valeur sur frais de recherche et developpement immobilisables"
2,2904,"Pertes de valeur sur logiciels informatiques et assimiles"
